OEM,Device,,Score
Lenovo,ThinkPad T14 Gen 5,,9
Framework,Laptop 16,,10
Lenovo,ThinkPad T14 Gen 3,,7
Framework,Laptop 13,,10
HP,EliteBook 840 Aero G8,,9
HP,EliteBook 840 G7,,9
HP,EliteBook x360 830 G7,,9
HP,EliteBook 850 G5,,10
HP,ProBook 440 G7,,9
HP,Elitebook x360 1040 G5,,6
Apple,"MacBook Pro 16"" 2019",,1
Microsoft,"Surface Laptop 3 15""",,5
Apple,"MacBook Pro 13"" Two Thunderbolt Ports 2019",,2
HP,EliteBook x360 830 G5,,9
HP,EliteBook 840 G6,,10
HP,EliteBook x360 830 G6,,9
MacBook,"Pro 15"" Touch Bar 2019",,1
HP,EliteBook 1050 G1,,9
Apple,MacBook Air 13” Retina Display Late 2018,,3
Apple,"MacBook Pro 15"" Touch Bar 2018",,1
Apple,"MacBook Pro 13"" Touch Bar 2018",,1
HP,EliteBook 840 G3,,10
Dell,Latitude E5270,,10
LG,"Gram 15""",,9
Samsung,"Series 9 15""",,9
Acer,"Predator 17.3""",,8
Dell,XPS 13,,7
Apple,"MacBook Pro 13"" Touch Bar 2017",,1
Apple,Retina MacBook 2017,,1
Apple,"MacBook Pro 15"" Touch Bar Late 2016",,1
Apple,"MacBook Pro 13"" Touch Bar Late 2016",,1
Apple,"MacBook Pro 13"" Function Keys Late 2016",,2
Apple,Retina MacBook 2016,,1
Asus,Chromebook C202,,9
Apple,Retina MacBook 2015,,1
Apple,"MacBook Pro 13"" Retina Display Early 2015",,1
Apple,"MacBook Air 13"" Early 2015",,4
Apple,"MacBook Air 11"" Early 2015",,4
Apple,"MacBook Pro 13"" Retina Display Late 2013",,1
Apple,"MacBook Pro 15"" Retina Display Late 2013",,1
Apple,"MacBook Air 11"" Mid 2013",,4
Apple,"MacBook Air 13"" Mid 2013",,4
Dell,Inspiron Duo,,7
Apple,"MacBook Pro 13"" Retina Display Late 2012",,2
Asus,Zenbook UX32VD,,8
Apple,"MacBook Pro 15"" Unibody Mid 2012",,7
Apple,"MacBook Pro 15"" Retina Display Mid 2012",,1
Apple,"MacBook Air 13"" Mid 2012",,4
Apple,"MacBook Air 13"" Mid 2011",,4
Apple,"MacBook Pro 15"" Unibody Early 2011",,7
Apple,"MacBook Air 11"" Late 2010",,4
